Make,Brand,Mileatex,Price
Toyota,Corolla,150000,10000
Honda,Civic,120000,8000
Ford,Fusion,130000,9000
Chevrolet,Malibu,140000,8500
Hyundai,Elantra,125000,7000
Nissan,Altima,135000,8200
Subaru,Forester,145000,9500
BMW,3 Series,150000,12000
Audi,A4,160000,11000
Mercedes-Benz,C-Class,170000,13000
Volkswagen,Golf,120000,8000
Fiat,500,100000,6000
Mazda,CX-5,130000,9000
Kia,Optima,140000,8500
Jeep,Cherokee,150000,10000
Chrysler,Pacifica,125000,7000
Dodge,Charger,135000,8200
Hyundai,Sonata,145000,9500
Toyota,Camry,150000,12000
Honda,Accord,160000,11000
Ford,Mustang,170000,13000
Chevrolet,Impala,120000,8000
Hyundai,Santa Fe,130000,9000
Nissan,Sentra,140000,8500
Subaru,Outback,125000,7000
BMW,X3,135000,8200
Audi,Q7,145000,9500
Mercedes-Benz,GLC,150000,10000
